verse,grammar,surah
وَإِنْ مِنْ قَرْيَةٍ إِلاّ نَحْنُ مُهْلِكُوها قَبْلَ يَوْمِ الْقِيامَةِ أَوْ مُعَذِّبُوها عَذابًا شَدِيدًا كانَ ذلِكَ فِي الْكِتابِ مَسْطُورًا,"﴿وَإِنْ﴾ (الواو): استئنافية. (إن): نافية. ﴿مِنْ﴾: حرف جر وصلة. ﴿قَرْيَةٍ﴾:
مجرور لفظا مرفوع محلا مبتدأ. ﴿إِلاّ﴾: للحصر. ﴿نَحْنُ﴾: مبتدأ. ﴿مُهْلِكُوها﴾: خبر مرفوع بالواو، و(الهاء) مضاف إليه، والجملة في محل رفع خبر المبتدأ (قرية) وجملة (إن من قرية ...) استئنافية. ﴿قَبْلَ﴾: ظرف زمان منصوب متعلق ب (مهلكوها). ﴿يَوْمِ﴾: مضاف إليه مجرور.
﴿الْقِيامَةِ﴾: مضاف إليه مجرور. ﴿أَوْ﴾: عاطفة. ﴿مُعَذِّبُوها﴾: معطوف على: مهلكوها مرفوع بالواو و(الهاء): مضاف إليه. ﴿عَذابًا﴾: مفعول مطلق منصوب. ﴿شَدِيدًا﴾: نعت منصوب.
﴿كانَ﴾: ماض ناقص. ﴿ذلِكَ﴾: اسم كان. ﴿فِي الْكِتابِ﴾: جار ومجرور متعلق ب: مسطورا.
﴿مَسْطُورًا﴾: خبر كان منصوب والجملة استئناف بياني.",الإسراء
وَما مَنَعَنا أَنْ نُرْسِلَ بِالْآياتِ إِلاّ أَنْ كَذَّبَ بِهَا الْأَوَّلُونَ وَآتَيْنا ثَمُودَ النّاقَةَ مُبْصِرَةً فَظَلَمُوا بِها وَما نُرْسِلُ بِالْآياتِ إِلاّ تَخْوِيفًا,"﴿وَما﴾ (الواو): عاطفة. (ما): نافية. ﴿مَنَعَنا﴾: ماض و(نا) مفعول به ﴿أَنْ﴾:
مصدرية ناصبة. ﴿نُرْسِلَ﴾: مضارع منصوب، والفاعل مستتر-نحن-للتعظيم-والمصدر المؤول من (أن نرسل) في محل جر بحرف جر محذوف متعلق ب (منعنا) (أي منعنا من أن نرسل).
﴿بِالْآياتِ﴾: جار ومجرور متعلق بحال من مفعول (نرسل) المقدّر (أي نرسل نبيّا متلبسا بالآيات) [ويجوز أن تكون الباء صلة والآيات مفعول نرسل]. ﴿إِلاّ﴾: للحصر. ﴿أَنْ﴾: مصدرية.
﴿كَذَّبَ﴾: فعل ماض. ﴿بِهَا﴾: جار ومجرور متعلق ب (كذب). ﴿الْأَوَّلُونَ﴾: فاعل مرفوع بالواو، والمصدر المؤول من (أن كذّب ...) في محل رفع فاعل (منع)، وجملة (ما منعنا ... إلا ...) معطوفة على جملة (إن من قرية ...) فى الآية السابقة لا محل لها. ﴿وَآتَيْنا﴾: (الواو): للحال [أو اعتراضية] (آتينا): ماض و(نا) فاعله. ﴿ثَمُودَ﴾: مفعول به منصوب. ﴿النّاقَةَ﴾: مفعول به ثان منصوب.
﴿مُبْصِرَةً﴾: حال منصوبة وجملة: آتينا ... في محل نصب حال. [أو اعتراضية] ﴿فَظَلَمُوا﴾:
(الفاء) عاطفة و(ظلموا) ماض و(الواو) فاعله. ﴿بِهَا﴾: جار ومجرور متعلق ب (ظلموا) بتضمينه معنى (كفروا)، وجملة (فظلموا ...) في محل نصب معطوفة على جملة (آتينا ...) ﴿وَما﴾ (الواو):
عاطفة. (ما): نافية. ﴿نُرْسِلَ بِالْآياتِ﴾: مثل الأولى. ﴿إِلاّ﴾: للحصر. ﴿تَخْوِيفًا﴾: مفعول لأجله منصوب، وجملة (ما نرسل ...) لا محل لها معطوفة على جملة (ما معنا ...).",الإسراء
وَإِذْ قُلْنا لَكَ إِنَّ رَبَّكَ أَحاطَ بِالنّاسِ وَما جَعَلْنَا الرُّؤْيَا الَّتِي أَرَيْناكَ إِلاّ فِتْنَةً لِلنّاسِ وَالشَّجَرَةَ الْمَلْعُونَةَ فِي الْقُرْآنِ وَنُخَوِّفُهُمْ فَما يَزِيدُهُمْ إِلاّ طُغْيانًا كَبِيرًا,"﴿وَإِذْ﴾ (الواو): استئنافية. (إذ): ظرف مبني في محل نصب متعلق بمحذوف تقديره (اذكر) وجملة (اذكر) إذ ... استئنافية. ﴿قُلْنا﴾: ماض و(نا) فاعله، والجملة في محل جر مضاف إليه. ﴿لَكَ﴾: جار ومجرور متعلق ب (قلنا). ﴿إِنَّ﴾: حرف توكيد ونصب. ﴿رَبَّكَ﴾:
اسم إن منصوب، و(الكاف) مضاف إليه. ﴿أَحاطَ﴾: فعل ماض، والفاعل مستتر-هو-والجملة في محل رفع خبر (إن). ﴿بِالنّاسِ﴾: جار ومجرور متعلق ب (أحاط).وجملة (إن ربك ...) في محل نصب مقول القول. ﴿وَما﴾: (الواو): عاطفة. (ما): نافية. ﴿جَعَلْنَا﴾: ماض و(نا) فاعله.
﴿الرُّؤْيَا﴾: مفعول به منصوب بالفتحة المقدرة على الألف. ﴿الَّتِي﴾: اسم موصول نعت في محل نصب. ﴿أَرَيْناكَ﴾: فعل ماض و(نا) فاعله و(الكاف) مفعوله، والجملة لا محل لها صلة الموصول.
﴿إِلاّ﴾: للحصر. ﴿فِتْنَةً﴾: مفعول به ثان منصوب (لجعلنا). ﴿لِلنّاسِ﴾: جار ومجرور متعلق بنعت ل (فتنة) وجملة (ما جعلنا ...) لا محل لها معطوفة على الاستئناف السابق. ﴿وَالشَّجَرَةَ﴾ (الواو): عاطفة. (الشجرة) معطوف على (الرؤيا) منصوب. ﴿الْمَلْعُونَةَ﴾: نعت منصوب. ﴿فِي الْقُرْآنِ﴾: جار ومجرور متعلق ب (الملعونة) ﴿وَنُخَوِّفُهُمْ﴾ (الواو): عاطفة. (نخوفهم): مضارع مرفوع والفاعل مستتر-نحن-و(الهاء) مفعول به، والجملة معطوفة على الاستئنافية. ﴿فَما﴾: الفاء عاطفة و(ما) نافية. ﴿يَزِيدُهُمْ﴾: مضارع مرفوع والفاعل مستتر-هو- (أي التخويف) و(الهاء) مفعول به. ﴿إِلاّ﴾: للحصر. ﴿طُغْيانًا﴾: مفعول به ثان منصوب. ﴿كَبِيرًا﴾: نعت منصوب، وجملة: ما يزيدهم ... لا محل لها معطوفة على جملة (نخوفهم).",الإسراء
وَإِذْ قُلْنا لِلْمَلائِكَةِ اُسْجُدُوا لِآدَمَ فَسَجَدُوا إِلاّ إِبْلِيسَ قالَ أَأَسْجُدُ لِمَنْ خَلَقْتَ طِينًا,"﴿وَإِذْ قُلْنا لِلْمَلائِكَةِ﴾: مثل (وإذ قلنا لك) في الآية السابقة، والجملة استئنافية، وجملة (قلنا) في محل جر بالإضافة. ﴿اُسْجُدُوا﴾: أمر مبني على حذف النون و(الواو) فاعل، والجملة في محل نصب مقول القول. ﴿لِآدَمَ﴾: جار ومجرور بالفتحة متعلق ب (اسجدوا).
﴿فَسَجَدُوا﴾: (الفاء) عاطفة و(سجدوا) فعل ماض و(الواو) فاعله، والجملة معطوفة على جملة
(قلنا) في محل جر. ﴿إِلاّ﴾: للاستثناء. ﴿إِبْلِيسَ﴾: مستثنى منصوب على الاستثناء المنقطع.
﴿قالَ﴾: ماض وفاعله مستتر-هو-والجملة استئناف بياني. ﴿أَأَسْجُدُ﴾: (الهمزة) للاستفهام و(اسجد) مضارع مرفوع وفاعله مستتر-أنا-والجملة في محل نصب مقول القول. ﴿لِمَنْ﴾: جار ومجرور متعلق ب (أسجد). ﴿خَلَقْتَ﴾: ماض و(التاء) فاعله، والجملة صلة الموصول (من).
﴿طِينًا﴾: منصوب على نزع الخافض (أي من طين) [أو حال].",الإسراء
قالَ أَرَأَيْتَكَ هذَا الَّذِي كَرَّمْتَ عَلَيَّ لَئِنْ أَخَّرْتَنِ إِلى يَوْمِ الْقِيامَةِ لَأَحْتَنِكَنَّ ذُرِّيَّتَهُ إِلاّ قَلِيلًا,"﴿قالَ﴾: فعل ماض والفاعل مستتر-هو- (أي الشيطان) والجملة استئنافية.
﴿أَرَأَيْتَكَ﴾: (الهمزة) للاستفهام ورأى فعل ماض، و(التاء) فاعله و(الكاف) للخطاب (أي أخبرني).
﴿هذَا﴾: مفعول به. ﴿الَّذِي﴾: بدل من (هذا). ﴿كَرَّمْتَ﴾: ماض و(التاء) فاعله، والجملة صلة الموصول، وجملة (أرأيتك هذا ...) مقول القول. ﴿عَلَيَّ﴾: جار ومجرور متعلق ب (كرمت) والمفعول الثاني ل (أرأيتك) جملة استفهامية مقدّرة (لم كرمته عليّ) دلّت عليها صلة الموصول. ﴿لَئِنْ﴾: (اللام) موطئة للقسم و(إن) شرطية جازمة. ﴿أَخَّرْتَنِ﴾: ماض في محل جزم فعل الشرط، و(التاء) فاعل و(النون) للوقاية و(الياء) المحذوفة تخفيفا مفعول به، وجملة الشرط استئنافية. ﴿إِلى يَوْمِ﴾: جار ومجرور متعلق ب (أخرت). ﴿الْقِيامَةِ﴾: مضاف إليه مجرور. ﴿لَأَحْتَنِكَنَّ﴾: (اللام) واقعة في جواب القسم (أحتنك) مضارع مبني على الفتح في محل رفع، والفاعل مستتر-أنا-والنون للتوكيد. ﴿ذُرِّيَّتَهُ﴾:
مفعول به منصوب، و(الهاء) مضاف إليه. ﴿إِلاّ﴾: للاستثناء. ﴿قَلِيلًا﴾: منصوب على الاستثناء، والجملة جواب القسم، وجواب الشرط محذوف دلّ عليه جواب القسم.",الإسراء
قالَ اِذْهَبْ فَمَنْ تَبِعَكَ مِنْهُمْ فَإِنَّ جَهَنَّمَ جَزاؤُكُمْ جَزاءً مَوْفُورًا,"﴿قالَ﴾: ماض وفاعله مستتر-هو- (أي الله) والجملة استئناف بياني.
﴿اِذْهَبْ﴾: أمر وفاعله مستتر-أنت-والجملة مقول القول. ﴿فَمَنْ﴾: الفاء عاطفة و(من) اسم شرط جازم-مبتدأ. ﴿تَبِعَكَ﴾: ماض مبني في محل جزم فعل الشرط وفاعله مستتر-هو-و(الكاف) مفعول به، والجملة الفعلية خبر المبتدأ (من)، وجملة (من تبعك) معطوفة على الاستئناف.
﴿مِنْهُمْ﴾: جار ومجرور متعلق بحال من الفاعل. ﴿فَإِنَّ﴾: الفاء رابطة لجواب الشرط و(إن) حرف توكيد ونصب. ﴿جَهَنَّمَ﴾: اسم إن منصوب. ﴿جَزاؤُكُمْ﴾: خبر إن مرفوع، و(الكاف)
مضاف إليه وجملة (إن ومتعلقاتها) في محل جزم جواب الشرط. ﴿جَزاءً﴾: مفعول مطلق منصوب [أو مصدر في موضع الحال-أو تمييز]. ﴿مَوْفُورًا﴾: نعت لجزاء منصوب.",الإسراء
وَاِسْتَفْزِزْ مَنِ اِسْتَطَعْتَ مِنْهُمْ بِصَوْتِكَ وَأَجْلِبْ عَلَيْهِمْ بِخَيْلِكَ وَرَجِلِكَ وَشارِكْهُمْ فِي الْأَمْوالِ وَالْأَوْلادِ وَعِدْهُمْ وَما يَعِدُهُمُ الشَّيْطانُ إِلاّ غُرُورًا,"﴿وَاسْتَفْزِزْ﴾ (الواو): استئنافية. (استفزز) فعل أمر وفاعله مستتر-أنت-والجملة استئنافية (ضمن القول). ﴿مَنِ﴾: موصولة مفعول به. ﴿اِسْتَطَعْتَ﴾: ماض و(التاء) فاعله، والجملة صلة الموصول. ﴿مِنْهُمْ﴾: جار ومجرور متعلق بحال من عائد الصلة المحذوف. ﴿بِصَوْتِكَ﴾: جار ومجرور متعلق ب (استفزز) و(الكاف) مضاف إليه. ﴿وَأَجْلِبْ﴾ (الواو): عاطفة. (أجلب): أمر وفاعله مستتر-أنت-والجملة معطوفة على جملة (استفزز). ﴿عَلَيْهِمْ﴾: مثل (منهم) متعلق ب (أجلب). ﴿بِخَيْلِكَ﴾: جار ومجرور متعلق بحال من فاعل (أجلب) و(الكاف) مضاف إليه ﴿وَرَجِلِكَ﴾ (الواو): عاطفة. (رجلك): معطوف على (خيلك): مجرور و(الكاف) مضاف إليه.
﴿وَشارِكْهُمْ﴾ (الواو): عاطفة. (شاركهم): أمر وفاعله مستتر-أنت-و(الهاء) مفعول به، والجملة معطوفة على جملة (استفزز) لا محل لها. ﴿فِي الْأَمْوالِ﴾: جار ومجرور متعلق ب (شارك).
﴿وَالْأَوْلادِ﴾: (الواو) عاطفة و(الأولاد) معطوف مجرور. ﴿وَعِدْهُمْ﴾ (الواو): عاطفة. (عدهم):
مثل (شاركهم): ومعطوفة عليها. ﴿وَما﴾ (الواو): للحال. (ما): نافية. ﴿يَعِدُهُمُ﴾: مضارع مرفوع و(الهاء) مفعول به. ﴿الشَّيْطانُ﴾: فاعل مرفوع. ﴿إِلاّ﴾: للحصر. ﴿غُرُورًا﴾: نائب عن المفعول المطلق منصوب، وجملة (ما يعدهم ...) في محل نصب حال.",الإسراء
إِنَّ عِبادِي لَيْسَ لَكَ عَلَيْهِمْ سُلْطانٌ وَكَفى بِرَبِّكَ وَكِيلًا,"﴿إِنَّ﴾: حرف توكيد ونصب. ﴿عِبادِي﴾: اسم (إن) منصوب بفتحة مقدّرة على ما قبل الياء، و(الياء) مضاف إليه. ﴿لَيْسَ﴾: ماض جامد ناقص. ﴿لَكَ﴾: جار ومجرور متعلق بخبر (ليس) مقدّم. ﴿عَلَيْهِمْ﴾: جار ومجرور متعلق بحال من: سلطان. ﴿سُلْطانٌ﴾: اسم ليس مرفوع وجملة (ليس ومتعلقاتها) في محل رفع خبر (إن) وجملة: إن ومتعلقاتها استئنافية.
﴿وَكَفى﴾ (الواو): عاطفة. (كفى): فعل ماض. ﴿بِرَبِّكَ﴾: (الباء) حرف جر للصلة (رب) مجرور لفظا مرفوع محلا فاعل (كفى) و(الكاف) مضاف إليه. ﴿وَكِيلًا﴾: حال [أو تمييز] منصوب، والجملة لا محل لها معطوفة على جملة (إن عبادي ...).",الإسراء
رَبُّكُمُ الَّذِي يُزْجِي لَكُمُ الْفُلْكَ فِي الْبَحْرِ لِتَبْتَغُوا مِنْ فَضْلِهِ إِنَّهُ كانَ بِكُمْ رَحِيمًا,"﴿رَبُّكُمُ﴾: مبتدأ مرفوع، و(الكاف) مضاف إليه. ﴿الَّذِي﴾: خبر، والجملة استئنافية. ﴿يُزْجِي﴾: مضارع مرفوع بالضمة المقدرة والفاعل مستتر-هو-والجملة صلة الموصول.
﴿لَكُمُ﴾: جار ومجرور متعلق ب (يزجي). ﴿الْفُلْكَ﴾: مفعول به منصوب. ﴿فِي الْبَحْرِ﴾: جار ومجرور متعلق ب (يزجي) [أو بمحذوف حال من الفلك]. ﴿لِتَبْتَغُوا﴾: (اللام) للتعليل و(تبتغوا) مضارع منصوب بحذف النون بعد (أن) مضمرة، و(الواو) فاعل والمصدر المؤول من (أن) والفعل في محل جر باللام متعلق ب (يزجي). ﴿مِنْ فَضْلِهِ﴾: جار ومجرور متعلق ب (تبتغوا) و(الهاء) مضاف إليه. ﴿إِنَّهُ﴾: حرف توكيد ونصب و(الهاء) اسمه. ﴿كانَ﴾: ماض ناقص واسمه مستتر-هو-.
﴿بِكُمْ﴾: جار ومجرور متعلق ب: رحيما. ﴿رَحِيمًا﴾: خبر كان منصوب، وجملة (كان ومتعلقاتها) خبر (إنّ)، و(إن) ومتعلقاتها تعليلية.",الإسراء
وَإِذا مَسَّكُمُ الضُّرُّ فِي الْبَحْرِ ضَلَّ مَنْ تَدْعُونَ إِلاّ إِيّاهُ فَلَمّا نَجّاكُمْ إِلَى الْبَرِّ أَعْرَضْتُمْ وَكانَ الْإِنْسانُ كَفُورًا,"﴿وَإِذا﴾ (الواو): عاطفة. (إذا): ظرف للمستقبل متضمن معنى الشرط متعلق بالجواب. ﴿مَسَّكُمُ﴾: ماض و(الكاف) مفعول به. ﴿الضُّرُّ﴾: فاعل مرفوع، والجملة في محل جر مضاف إليه. ﴿فِي الْبَحْرِ﴾: جار ومجرور متعلق بحال من الفاعل [أو المفعول]. ﴿ضَلَّ﴾: فعل ماض. ﴿مَنْ﴾: موصولة-فاعل. ﴿تَدْعُونَ﴾: مضارع مرفوع بثبوت النون، و(الواو) فاعل، والجملة صلة الموصول، وجملة (ضلّ من ...) جواب الشرط (إذا) لا محل لها. ﴿إِلاّ﴾: استثنائية.
﴿إِيّاهُ﴾: ضمير منفصل في محل نصب على الاستثناء المتصل [أو المنقطع]. ﴿فَلَمّا﴾: الفاء عاطفة و(لما) ظرف بمعنى حين تضمن معنى الشرط متعلق بالجواب. ﴿نَجّاكُمْ﴾: ماض وفاعله مستتر-هو- و(الكاف) مفعول به، والجملة في محل جر مضاف إليه. ﴿إِلَى الْبَرِّ﴾: جار ومجرور متعلق ب (نجاكم). ﴿أَعْرَضْتُمْ﴾: ماض و(التاء) فاعله، والجملة جواب الشرط لا محل لها. ﴿وَكانَ﴾ (الواو): استئنافية. (كان): ماض ناقص. ﴿الْإِنْسانُ﴾: اسم كان مرفوع. ﴿كَفُورًا﴾: خبر كان منصوب. وجملة (كان ...) لا محل لها استئنافية.",الإسراء
أَفَأَمِنْتُمْ أَنْ يَخْسِفَ بِكُمْ جانِبَ الْبَرِّ أَوْ يُرْسِلَ عَلَيْكُمْ حاصِبًا ثُمَّ لا تَجِدُوا لَكُمْ وَكِيلًا,"﴿أَفَأَمِنْتُمْ﴾: (الهمزة) للاستفهام التوبيخي، و(الفاء) استئنافية و(أمنتم) ماض و(التاء) فاعله، والجملة استئنافية. ﴿أَنْ﴾: مصدرية. ﴿يَخْسِفَ﴾: مضارع منصوب والفاعل مستتر- هو-والمصدر المؤول من (أن يخسف) في محل نصب مفعول به. ﴿بِكُمْ﴾: جار ومجرور متعلق بحال من: جانب. ﴿جانِبَ﴾: مفعول به منصوب [أو ظرف]. ﴿الْبَرِّ﴾: مضاف إليه مجرور.
﴿أَوْ﴾: عاطفة. ﴿يُرْسِلَ﴾: مضارع منصوب معطوف على (يخسف). ﴿عَلَيْكُمْ﴾: جار ومجرور متعلق بحال من: حاصبا. ﴿حاصِبًا﴾: مفعول به منصوب، وجملة (يرسل) لا محل لها معطوفة على جملة (يخسف) وهي صلة الموصول الحرفيّ. ﴿ثُمَّ﴾: عاطفة. ﴿لا﴾: نافية. ﴿تَجِدُوا﴾:
مضارع منصوب بحذف النون معطوف على (يرسل) و(الواو) فاعل. ﴿لَكُمْ﴾: جار ومجرور متعلق بمحذوف مفعول ثان. ﴿وَكِيلًا﴾: مفعول به أول ل (تجدوا) منصوب، وجملة (تجدوا ...) معطوفة على جملة (يرسل).",الإسراء
أَمْ أَمِنْتُمْ أَنْ يُعِيدَكُمْ فِيهِ تارَةً أُخْرى فَيُرْسِلَ عَلَيْكُمْ قاصِفًا مِنَ الرِّيحِ فَيُغْرِقَكُمْ بِما كَفَرْتُمْ ثُمَّ لا تَجِدُوا لَكُمْ عَلَيْنا بِهِ تَبِيعًا,"﴿أَمْ﴾: منقطعة بمعنى بل والهمزة. ﴿أَمِنْتُمْ أَنْ يُعِيدَكُمْ﴾: مثل (أمنتم أن يخسف) فى الآية السابقة و(الكاف) مفعول به، والجملة استئنافية [ويجوز أن تكون (أم) متصلة فتكون الجملة معطوفة على (أمنتم) في الآية السابقة]. ﴿فِيهِ﴾: جار ومجرور متعلق ب (يعيدكم).
﴿تارَةً﴾: نائب عن المفعول المطلق منصوب. ﴿أُخْرى﴾: نعت منصوب بالفتحة المقدرة.
﴿فَيُرْسِلَ عَلَيْكُمْ قاصِفًا﴾: مثل (يرسل عليكم حاصبا) فى الآية السابقة والجملة معطوفة بالفاء على جملة (يعيدكم) وهي لا محل لها صلة الموصول الحرفي. ﴿مِنَ الرِّيحِ﴾: جار ومجرور متعلق بنعت ل (قاصفا). ﴿فَيُغْرِقَكُمْ﴾: (الفاء) عاطفة و(يغرق) مضارع منصوب معطوف على (يرسل) و(الكاف) مفعول به والفاعل مستتر-هو-والجملة معطوفة على جملة (يرسل). ﴿بِما﴾: (الباء) حرف جر و(ما) مصدرية. ﴿كَفَرْتُمْ﴾: ماض و(التاء) فاعله، والمصدر المؤول من (ما والفعل) في محل جر بالباء متعلق ب (يغرقكم). ﴿ثُمَّ﴾: عاطفة. ﴿لا تَجِدُوا لَكُمْ﴾: مثل نظيرتها في الآية السابقة. ﴿عَلَيْنا﴾: جار ومجرور متعلق ب (تبيعا). ﴿بِهِ﴾: جار ومجرور متعلق ب (تجدوا) ﴿تَبِيعًا﴾: مفعول به أوّل منصوب، والجملة الفعلية: لا تجدوا ... معطوفة على جملة (يغرقكم) لا محل لها..",الإسراء
وَلَقَدْ كَرَّمْنا بَنِي آدَمَ وَحَمَلْناهُمْ فِي الْبَرِّ وَالْبَحْرِ وَرَزَقْناهُمْ مِنَ الطَّيِّباتِ وَفَضَّلْناهُمْ عَلى كَثِيرٍ مِمَّنْ خَلَقْنا تَفْضِيلًا,"﴿وَلَقَدْ﴾ (الواو): استئنافية. (لقد): (اللام) لقسم مقدّر و(قد) للتحقيق.
﴿كَرَّمْنا﴾: ماض و(نا) فاعله. ﴿بَنِي﴾: مفعول به منصوب بالياء. ﴿آدَمَ﴾: مضاف إليه مجرور بالفتحة، والجملة جواب القسم المقدّر، وهو استئناف. ﴿وَحَمَلْناهُمْ﴾ (الواو): عاطفة. (حملناهم):
ماض، و(نا) فاعل، و(الهاء) مفعول به، والجملة معطوفة على جملة: كرمنا. ﴿فِي الْبَرِّ﴾: جار ومجرور متعلق بحال من ضمير المفعول. ﴿وَالْبَحْرِ﴾: (الواو) عاطفة و(البحر) معطوف مجرور.
﴿وَرَزَقْناهُمْ﴾ (الواو): عاطفة. (رزقناهم): مثل (حملناهم) ومعطوفة عليها. ﴿مِنَ الطَّيِّباتِ﴾: جار ومجرور متعلق بمحذوف حال من المفعول به في (رزقناهم) (أي آكلين من الطيبات).
﴿وَفَضَّلْناهُمْ﴾ (الواو): عاطفة. (فضلناهم): مثل (حملناهم). ﴿عَلى كَثِيرٍ﴾: جار ومجرور متعلق ب (فضلنا). ﴿مِمَّنْ﴾: جار ومجرور متعلق بنعت ل (كثير). ﴿خَلَقْنا﴾: ماض و(نا) فاعله، والجملة صلة الموصول (من). ﴿تَفْضِيلًا﴾: مفعول مطلق منصوب.",الإسراء
يَوْمَ نَدْعُوا كُلَّ أُناسٍ بِإِمامِهِمْ فَمَنْ أُوتِيَ كِتابَهُ بِيَمِينِهِ فَأُولئِكَ يَقْرَؤُنَ كِتابَهُمْ وَلا يُظْلَمُونَ فَتِيلًا,"﴿يَوْمَ﴾: مفعول به لفعل محذوف تقديره (اذكر)، والجملة استئنافية. ﴿نَدْعُوا﴾:
مضارع مرفوع بالضمة المقدرة والفاعل مستتر-نحن-والجملة في محل جر بالإضافة. ﴿كُلَّ﴾:
مفعول به منصوب. ﴿أُناسٍ﴾: مضاف إليه مجرور. ﴿بِإِمامِهِمْ﴾: جار ومجرور متعلق ب (ندعو) و(الهاء) مضاف إليه. ﴿فَمَنْ﴾: الفاء عاطفة و(من) شرطية-مبتدأ. ﴿أُوتِيَ﴾: ماض مبني للمجهول في محل جزم فعل الشرط ونائب الفاعل مستتر-هو-والجملة خبر (من) وجملة (من أوتي) معطوفة على الاستئناف. ﴿كِتابَهُ﴾: مفعول به منصوب، و(الهاء) مضاف إليه.
﴿بِيَمِينِهِ﴾: جار ومجرور متعلق بحال من نائب الفاعل [أو متعلق بأوتي] و(الهاء) مضاف إليه.
﴿فَأُولئِكَ﴾: الفاء رابطة للجواب و(أولئك) مبتدأ. ﴿يَقْرَؤُنَ﴾: مضارع مرفوع بثبوت النون، و(الواو) فاعل، والجملة الفعلية خبر المبتدأ (أولئك)، وهو وخبره في محل جزم جواب الشرط.
﴿كِتابَهُمْ﴾: مفعول به منصوب و(الهاء) مضاف إليه. ﴿وَلا﴾ (الواو): عاطفة. (لا): نافية.
﴿يُظْلَمُونَ﴾: مضارع مبني للمفعول مرفوع بثبوت النون، و(الواو) نائب فاعل، والجملة معطوفة على جملة (يقرءون) في محل رفع. ﴿فَتِيلًا﴾: نائب عن المفعول المطلق منصوب.",الإسراء
وَمَنْ كانَ فِي هذِهِ أَعْمى فَهُوَ فِي الْآخِرَةِ أَعْمى وَأَضَلُّ سَبِيلًا,"﴿وَمَنْ﴾ (الواو): عاطفة. (من) شرطية مبتدأ. ﴿كانَ﴾: ماض ناقص في محل جزم فعل الشرط واسمه مستتر-هو- ﴿فِي هذِهِ﴾: جار ومجرور متعلق ب: أعمى ﴿أَعْمى﴾: خبر كان منصوب بفتحة مقدرة، والجملة خبر المبتدأ (من)، وجملة (من كان ...) معطوفة على جملة (من أوتي) في الآية السابقة لا محل لها. ﴿فَهُوَ﴾: الفاء رابطة للجواب و(هو) مبتدأ. ﴿فِي الْآخِرَةِ﴾: جار ومجرور متعلق ب: أعمى ﴿أَعْمى﴾: خبر المبتدأ (هو) مرفوع بالضمة المقدرة. ﴿وَأَضَلُّ﴾ (الواو): عاطفة. (أضلّ):
معطوف مرفوع. ﴿سَبِيلًا﴾: تمييز منصوب، وجملة (هو ... أعمى) في محل جزم جواب الشرط.",الإسراء
وَإِنْ كادُوا لَيَفْتِنُونَكَ عَنِ الَّذِي أَوْحَيْنا إِلَيْكَ لِتَفْتَرِيَ عَلَيْنا غَيْرَهُ وَإِذًا لاتَّخَذُوكَ خَلِيلًا,"﴿وَإِنْ﴾ (الواو): استئنافية. (إن): مخففة من الثقيلة. ﴿كادُوا﴾: ماض ناقص و(الواو) اسمه. ﴿لَيَفْتِنُونَكَ﴾: (اللام) الفارقة، و(يفتنونك) مضارع مرفوع بثبوت النون و(الواو) فاعل و(الكاف) مفعول به والجملة في محل نصب خبر (كادوا)، وهي وخبرها استئناف. ﴿عَنِ الَّذِي﴾: جار ومجرور متعلق ب (يفتنون). ﴿أَوْحَيْنا﴾: ماض و(نا) فاعله، والجملة صلة الموصول (الذي). ﴿إِلَيْكَ﴾:
جار ومجرور متعلق ب (أوحينا). ﴿لِتَفْتَرِيَ﴾: (اللام) للتعليل، و(تفتري) مضارع منصوب بأن مضمرة وفاعله مستتر-أنت-والمصدر المؤول من (أن) والفعل في محل جر باللام متعلق ب (يفتنونك). ﴿عَلَيْنا﴾:
جار ومجرور متعلق ب (تفتري). ﴿غَيْرَهُ﴾: مفعول به منصوب و(الهاء) مضاف إليه. ﴿وَإِذًا﴾ (الواو):
عاطفة. (إذا): حرف جواب. ﴿لاتَّخَذُوكَ﴾: (اللام) واقعة في جواب شرط مقدّر و(اتخذوك) فعل ماض و(الواو) فاعل و(الكاف) مفعول به، والجملة لا محل لها جواب الشرط المقدّر (أي: لو فعلت ذلك لاتخذوك) وجملة الشرط المقدّر معطوفة على الاستئناف. ﴿خَلِيلًا﴾: مفعول به ثان منصوب.",الإسراء
وَلَوْلا أَنْ ثَبَّتْناكَ لَقَدْ كِدْتَ تَرْكَنُ إِلَيْهِمْ شَيْئًا قَلِيلًا,"﴿وَلَوْلا﴾ (الواو): عاطفة. (لولا): حرف شرط غير جازم. ﴿أَنْ﴾: مصدرية.
﴿ثَبَّتْناكَ﴾: ماض و(نا) فاعله و(الكاف) مفعوله، والمصدر المؤول من (أن) والفعل في محل رفع مبتدأ والخبر محذوف وجوبا تقديره (موجود) وجملة (لولا تثبيتنا إياك ...) معطوفة على جملة (كادوا ...) لا محل لها. ﴿لَقَدْ﴾: اللام واقعة في جواب-لولا-و(قد) حرف للتوقع أو للتقليل.
﴿كِدْتَ﴾: ماض ناقص و(التاء) اسمه. ﴿تَرْكَنُ﴾: مضارع مرفوع وفاعله مستتر-أنت-والجملة في محل نصب خبر (كاد) وجملة (كاد ومتعلقاتها) جواب الشرط لا محل لها. ﴿إِلَيْهِمْ﴾: جار ومجرور متعلق ب (تركن). ﴿شَيْئًا﴾: مفعول مطلق منصوب نائب عن المصدر. ﴿قَلِيلًا﴾: نعت ل (شيئا) منصوب.",الإسراء
